blax,blay,blaz,trax,tray,traz,ms
-9.303867,0.062249,-0.122104,10.409989,-0.079009,1.247379,2659818
-9.325416,0.148441,-0.1652,10.371682,-0.158017,1.256956,2659824
-9.334992,0.083797,-0.138864,10.436325,-0.098162,1.240196,2659831
-9.356541,0.110133,-0.134075,10.393229,-0.126893,1.307234,2659838
-9.308656,0.071826,-0.126893,10.436325,-0.064643,1.201889,2659844
-9.339781,0.158017,-0.167594,10.333375,-0.079009,1.273715,2659850
-9.275137,0.131681,-0.191536,10.42196,-0.088585,1.218649,2659857
-9.272743,0.09098,-0.100556,10.338163,-0.112527,1.216254,2659863
-9.275137,0.141258,-0.131681,10.378864,-0.136469,1.338359,2659870
-9.248801,0.150835,-0.172383,10.431537,-0.138864,1.192312,2659876
-9.32781,0.11971,-0.237026,10.388441,-0.124498,1.283292,2659883
-9.28232,0.083797,-0.213084,10.383653,-0.093374,1.21386,2659889
-9.344569,0.134075,-0.232238,10.417171,-0.126893,1.201889,2659895
-9.339781,0.131681,-0.198719,10.388441,-0.167594,1.280898,2659902
-9.334992,0.172383,-0.153229,10.426748,-0.100556,1.223437,2659908
-9.287108,0.107739,-0.189142,10.388441,-0.110133,1.211466,2659915
-9.306262,0.102951,-0.181959,10.417171,-0.102951,1.216254,2659921
-9.32781,0.110133,-0.155623,10.448297,-0.083797,1.223437,2659927
-9.279925,0.09098,-0.016759,10.366894,-0.181959,1.21386,2659934
-9.296685,0.134075,-0.136469,10.424355,-0.069432,1.285686,2659940
-9.342175,0.129287,-0.167594,10.390836,-0.129287,1.302446,2659947
-9.315839,0.148441,-0.179565,10.405201,-0.129287,1.252167,2659953
-9.303867,0.102951,-0.227449,10.407595,-0.136469,1.199495,2659960
-9.263166,0.150835,-0.268151,10.455479,-0.160412,1.335965,2659966
-9.320627,0.102951,-0.167594,10.364499,-0.102951,1.23062,2659972
-9.342175,0.141258,-0.191536,10.43872,-0.112527,1.331176,2659979
-9.325416,0.129287,-0.191536,10.445902,-0.110133,1.228225,2659985
-9.32781,0.11971,-0.23942,10.424355,-0.126893,1.216254,2659992
-9.315839,0.136469,-0.227449,10.417171,-0.102951,1.252167,2659998
-9.323022,0.203507,-0.134075,10.409989,-0.136469,1.252167,2660004
-9.308656,0.122104,-0.167594,10.33098,-0.122104,1.254562,2660011
-9.299079,0.153229,-0.234632,10.395624,-0.02873,1.23062,2660017
-9.284714,0.110133,-0.162806,10.414778,-0.095768,1.254562,2660023
-9.351752,0.114922,-0.277727,10.359711,-0.112527,1.266533,2660030
-9.318233,0.153229,-0.153229,10.414778,-0.105345,1.218649,2660036
-9.323022,0.122104,-0.129287,10.402806,-0.148441,1.271321,2660043
-9.315839,0.105345,-0.181959,10.34774,-0.083797,1.316811,2660049
-9.244013,0.179565,-0.148441,10.374076,-0.110133,1.25935,2660056
-9.284714,0.057461,-0.155623,10.457873,-0.107739,1.189918,2660062
-9.397242,0.083797,-0.208296,10.357317,-0.126893,1.23062,2660068
-9.313444,0.136469,-0.1652,10.376471,-0.134075,1.235408,2660075
-9.387665,0.107739,-0.174777,10.357317,-0.105345,1.280898,2660081
-9.330204,0.07422,-0.158017,10.405201,-0.098162,1.240196,2660088
-9.308656,0.086191,-0.172383,10.362105,-0.126893,1.070208,2660094
-9.342175,0.122104,-0.244209,10.426748,-0.098162,1.261744,2660101
-9.260772,0.169988,-0.213084,10.390836,-0.160412,1.16837,2660107
-9.263166,0.100556,-0.088585,10.350134,-0.107739,1.254562,2660113
-9.287108,0.100556,-0.088585,10.417171,-0.186748,1.163582,2660120
-9.356541,0.07422,-0.232238,10.350134,-0.083797,1.204283,2660126
-9.318233,0.134075,-0.150835,10.395624,-0.143652,1.21386,2660133
-9.315839,0.069432,-0.158017,10.359711,-0.107739,1.158794,2660139
-9.31105,0.107739,-0.143652,10.424355,-0.155623,1.261744,2660146
-9.275137,0.141258,-0.141258,10.460267,-0.122104,1.21386,2660152
-9.337387,0.136469,-0.186748,10.405201,-0.047884,1.192312,2660159
-9.308656,0.177171,-0.205901,10.371682,-0.114922,1.201889,2660165
-9.306262,0.136469,-0.112527,10.354922,-0.081403,1.21386,2660171
-9.241618,0.134075,-0.160412,10.352529,-0.112527,1.288081,2660178
-9.279925,0.146046,-0.160412,10.453085,-0.141258,1.357512,2660184
-9.332599,0.098162,-0.155623,10.414778,-0.141258,1.242591,2660191
-9.301474,0.114922,-0.155623,10.412383,-0.088585,1.252167,2660197
-9.344569,0.11971,-0.167594,10.386047,-0.083797,1.290475,2660203
-9.289502,0.095768,-0.148441,10.484209,-0.114922,1.338359,2660210
-9.248801,0.112527,-0.203507,10.376471,-0.088585,1.268927,2660216
-9.296685,0.134075,-0.203507,10.407595,-0.098162,1.271321,2660223
-9.294291,0.052672,-0.246603,10.436325,-0.114922,1.223437,2660229
-9.294291,0.150835,-0.21069,10.429143,-0.158017,1.192312,2660236
-9.294291,0.11971,-0.208296,10.386047,-0.196325,1.252167,2660242
-9.32781,0.067038,-0.155623,10.378864,-0.11971,1.316811,2660249
-9.325416,0.11971,-0.131681,10.383653,-0.129287,1.221043,2660255
-9.349358,0.131681,-0.19393,10.441113,-0.150835,1.194707,2660262
-9.267955,0.155623,-0.208296,10.374076,-0.148441,1.23062,2660268
-9.308656,0.067038,-0.227449,10.366894,-0.071826,1.21386,2660274
-9.287108,0.134075,-0.217872,10.493786,-0.148441,1.338359,2660281
-9.287108,0.107739,-0.148441,10.457873,-0.110133,1.187524,2660287
-9.306262,0.067038,-0.23942,10.388441,-0.11971,1.235408,2660293
-9.31105,0.114922,-0.23942,10.417171,-0.129287,1.268927,2660300
-9.23683,0.102951,-0.1652,10.366894,-0.100556,1.23062,2660306
-9.260772,0.093374,-0.126893,10.453085,-0.136469,1.221043,2660313
-9.378088,0.107739,-0.181959,10.386047,-0.141258,1.343147,2660319
-9.289502,0.047884,-0.179565,10.369287,-0.088585,1.211466,2660325
-9.318233,0.086191,-0.153229,10.43872,-0.126893,1.228225,2660332
-9.334992,0.122104,-0.208296,10.371682,-0.107739,1.242591,2660338
-9.306262,0.112527,-0.11971,10.402806,-0.110133,1.235408,2660345
-9.368511,0.07422,-0.129287,10.340557,-0.126893,1.223437,2660351
-9.275137,0.09098,-0.138864,10.42196,-0.095768,1.254562,2660358
-9.272743,0.088585,-0.208296,10.383653,-0.110133,1.146823,2660364
-9.318233,0.138864,-0.169988,10.388441,-0.107739,1.244985,2660370
-9.385271,0.198719,-0.160412,10.407595,-0.081403,1.264138,2660377
-9.313444,0.110133,-0.153229,10.407595,-0.040701,1.288081,2660383
-9.318233,0.102951,-0.177171,10.443508,-0.086191,1.312023,2660390
-9.291897,0.062249,-0.172383,10.457873,-0.09098,1.278504,2660396
-9.313444,0.146046,-0.169988,10.407595,-0.098162,1.197101,2660402
-9.315839,0.117316,-0.179565,10.374076,-0.100556,1.25935,2660409
-9.291897,0.134075,-0.143652,10.374076,-0.114922,1.268927,2660415
-9.308656,0.126893,-0.143652,10.414778,-0.059855,1.18513,2660422
-9.287108,0.102951,-0.086191,10.402806,-0.146046,1.206678,2660428
-9.270349,0.134075,-0.215478,10.443508,-0.098162,1.244985,2660434
-9.303867,0.098162,-0.198719,10.374076,-0.064643,1.235408,2660441
-9.260772,0.102951,-0.129287,10.407595,-0.134075,1.288081,2660447
-9.315839,0.126893,-0.198719,10.369287,-0.112527,1.312023,2660454
-9.270349,0.107739,-0.220267,10.419566,-0.09098,1.268927,2660460
-9.315839,0.086191,-0.155623,10.381259,-0.083797,1.273715,2660467
-9.32781,0.138864,-0.196325,10.314221,-0.088585,1.108515,2660473
-9.260772,0.131681,-0.102951,10.357317,-0.122104,1.106121,2660479
-9.275137,0.134075,-0.21069,10.441113,-0.102951,1.223437,2660486
-9.337387,0.102951,-0.179565,10.398018,-0.110133,1.244985,2660492
-9.342175,0.160412,-0.191536,10.357317,-0.141258,1.256956,2660499
-9.258378,0.081403,-0.203507,10.395624,-0.105345,1.266533,2660505
-9.299079,0.11971,-0.225055,10.417171,-0.114922,1.209072,2660511
-9.32781,0.081403,-0.21069,10.388441,-0.112527,1.218649,2660518
-9.325416,0.114922,-0.160412,10.378864,-0.088585,1.314417,2660524
-9.354146,0.117316,-0.25618,10.426748,-0.088585,1.221043,2660531
-9.296685,0.158017,-0.186748,10.374076,-0.102951,1.295263,2660537
-9.320627,0.124498,-0.110133,10.357317,-0.086191,1.209072,2660543
-9.301474,0.11971,-0.107739,10.390836,-0.131681,1.235408,2660550
-9.267955,0.098162,-0.177171,10.383653,-0.136469,1.285686,2660557
-9.258378,0.110133,-0.146046,10.381259,-0.134075,1.223437,2660563
-9.289502,0.122104,-0.150835,10.414778,-0.138864,1.300052,2660569
-9.315839,0.11971,-0.213084,10.42196,-0.141258,1.323994,2660576
-9.294291,0.136469,-0.186748,10.388441,-0.11971,1.261744,2660582
-9.330204,0.136469,-0.23942,10.342952,-0.081403,1.240196,2660588
-9.220071,0.093374,-0.172383,10.412383,-0.086191,1.233014,2660595
-9.358934,0.160412,-0.177171,10.409989,-0.134075,1.264138,2660601
-9.318233,0.129287,-0.222661,10.407595,-0.057461,1.247379,2660608
-9.31105,0.112527,-0.155623,10.409989,-0.141258,1.223437,2660614
-9.26556,0.079009,-0.217872,10.42196,-0.086191,1.278504,2660620
-9.279925,0.1652,-0.160412,10.352529,-0.134075,1.30484,2660627
-9.339781,0.067038,-0.241814,10.369287,-0.148441,1.326388,2660633
-9.320627,0.148441,-0.169988,10.342952,-0.174777,1.271321,2660640
-9.342175,0.098162,-0.052672,10.357317,-0.110133,1.254562,2660646
-9.308656,0.126893,-0.19393,10.417171,-0.100556,1.242591,2660652
-9.306262,0.172383,-0.162806,10.374076,-0.126893,1.323994,2660659
-9.332599,0.141258,-0.1652,10.383653,-0.138864,1.218649,2660665
-9.244013,0.112527,-0.162806,10.393229,-0.086191,1.276109,2660671
-9.32781,0.093374,-0.225055,10.419566,-0.114922,1.288081,2660678
-9.303867,0.155623,-0.158017,10.409989,-0.134075,1.256956,2660684
-9.31105,0.081403,-0.196325,10.376471,-0.086191,1.309628,2660690
-9.339781,0.129287,-0.122104,10.357317,-0.079009,1.240196,2660697
-9.287108,0.11971,-0.158017,10.357317,-0.114922,1.194707,2660703
-9.308656,0.107739,-0.141258,10.376471,-0.093374,1.326388,2660710
-9.270349,0.098162,-0.203507,10.429143,-0.102951,1.321599,2660716
-9.26556,0.081403,-0.229843,10.321404,-0.131681,1.209072,2660722
-9.275137,0.09098,-0.234632,10.402806,-0.136469,1.374272,2660729
-9.342175,0.107739,-0.237026,10.45069,-0.107739,1.223437,2660735
-9.275137,0.079009,-0.131681,10.402806,-0.150835,1.256956,2660742
-9.320627,0.141258,-0.248997,10.398018,-0.129287,1.163582,2660748
-9.315839,0.098162,-0.282516,10.393229,-0.153229,1.254562,2660754
-9.32781,0.146046,-0.229843,10.328587,-0.138864,1.23062,2660761
-9.303867,0.100556,-0.198719,10.378864,-0.122104,1.244985,2660768
-9.308656,0.081403,-0.162806,10.455479,-0.148441,1.276109,2660774
-9.267955,0.081403,-0.196325,10.383653,-0.110133,1.249773,2660780
-9.31105,0.107739,-0.222661,10.376471,-0.102951,1.228225,2660787
-9.313444,0.122104,-0.203507,10.409989,-0.102951,1.249773,2660793
-9.339781,0.095768,-0.079009,10.402806,-0.131681,1.25935,2660799
-9.354146,0.126893,-0.179565,10.390836,-0.112527,1.244985,2660806
-9.320627,0.134075,-0.088585,10.431537,-0.126893,1.30484,2660812
-9.337387,0.105345,-0.222661,10.448297,-0.098162,1.235408,2660819
-9.294291,0.124498,-0.150835,10.357317,-0.110133,1.225831,2660825
-9.303867,0.146046,-0.153229,10.448297,-0.146046,1.326388,2660831
-9.339781,0.162806,-0.196325,10.412383,-0.100556,1.268927,2660838
-9.313444,0.136469,-0.11971,10.364499,-0.095768,1.307234,2660844
-9.28232,0.04549,-0.237026,10.328587,-0.100556,1.256956,2660851
-9.291897,0.114922,-0.100556,10.340557,-0.160412,1.244985,2660857
-9.287108,0.079009,-0.181959,10.441113,-0.098162,1.209072,2660864
-9.301474,0.177171,-0.237026,10.443508,-0.117316,1.295263,2660870
-9.289502,0.093374,-0.177171,10.383653,-0.143652,1.252167,2660876
-9.320627,0.086191,-0.196325,10.393229,-0.100556,1.292869,2660883
